"SMILES","count_PGK2"
COc1ccc2ncc(C(=O)N[C@@H]3CC[C@@H]3C(=O)Nc3cc[nH]n3)cc2c1,36
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(C#Cc3cn(C)nc3C(=O)O)c2)CC1,35
CNC(=O)CCNC(=O)[C@H]1CN(C(=O)c2cnc3[nH]cnc3c2)C[C@@H]1c1cccc(-c2ccc(-c3nnn[nH]3)cc2)c1,35
CNC(=O)CCNC(=O)CN(C)c1ccc(C(F)(F)F)cc1Cc1c[nH]c2ccc(CNCc3ccc(-c4cccc(C#N)c4)nc3)cc12,34
CNC(=O)CN1[C@H](CCCNC(=O)OCc2ccccc2)CN(C(=O)c2cnccc2C(F)(F)F)C[C@H]1CC(=O)N1CCC(c2cc(O)nc(C)n2)CC1,33
CNC(=O)CCC1CCN(C(=O)CCc2cccc(C3CCN(C(=O)c4ccc5c(c4)c(C(=O)N[C@H]4COc6ccc(Cl)cc64)nn5C)CC3)n2)CC1,33
CNC(=O)CCC1CCN(Cc2ccc(NC(=O)c3ccc4c(c3)c(C(=O)N[C@H]3COc5ccc(Cl)cc53)nn4C)cc2F)CC1,33
CNC(=O)CCC1CN(C(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(C#Cc3ccc(NS(=O)(=O)c4ccc(F)cc4)cc3)c2)C1,33
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3ccn(C)n3)c2)CC1,32
CNC(=O)CCC1CCN(C(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(C#Cc3ccc(NS(=O)(=O)c4ccc(F)cc4)cc3)c2)CC1,31
CNC(=O)CCNC(=O)[C@H]1CN(C(=O)c2cnc3[nH]cnc3c2)C[C@@H]1c1cccc(C#Cc2cccc(NS(=O)(=O)c3ccc(C#N)cc3)c2)c1,31
CNC(=O)C1CCC(NC(=O)CN(C)c2ccc(C(F)(F)F)cc2Cc2c(CNCc3ccc(-c4cccc(C#N)c4)nc3)[nH]c3ccccc23)CC1,31
CNC(=O)[C@H]1C[C@@H](n2c(CCc3ccncn3)nc3cccc(CN4CCN(Cc5ccccc5)C(=O)C4)c32)C1,30
CNC(=O)CCC1CCN(C(=O)Cc2ccccc2CNC(=O)c2ccc3c(c2)c(C(=O)N[C@H]2COc4ccc(Cl)cc42)nn3C)CC1,30
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3cc4cc(OC)ccc4o3)c2)CC1,30
CNC(=O)CN1[C@@H](CCCNC(=O)OCc2ccccc2)CN(S(=O)(=O)c2ccc(OC)c(F)c2)C[C@@H]1CC(=O)NCc1ccc(C[C@@H]2COC(=O)N2)cc1,29
CNC(=O)C[C@@H]1CN(C(=O)c2cc(OC)c(OC)cc2N)C[C@@H](c2ccccc2)N1CC(=O)NC1(C(=O)Nc2ccc(F)cc2)CC1,29
CNC(=O)CCNC(=O)CN(C)c1ccc(C(F)(F)F)cc1Cc1c(CNCc2ccc(-c3cccc(C#N)c3)nc2)[nH]c2ccc(Cl)cc12,29
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3ccn(C4CCCCO4)n3)c2)CC1,28
O=C(COc1cccc2ccccc12)N[C@@H](C(=O)NCc1ccc2[nH]ncc2c1)c1ccc(F)cc1,28
CNC(=O)CN(C)c1ccc(C(F)(F)F)cc1Cc1c[nH]c2ccc(CNCc3ccc(-c4cccc(C#N)c4)nc3)cc12,28
CNC(=O)CCC1CCN(Cc2ccc(NC(=O)c3ccc4c(c3)c(C(=O)N[C@H]3COc5ccc(Cl)cc53)nn4C)c(F)c2)CC1,27
CNC(=O)CCC1CCN(C(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3ccc(-c4nnn[nH]4)cc3)c2)CC1,27
CNC(=O)[C@H]1CN(C(=O)c2cnc3[nH]cnc3c2)C[C@@H]1c1cccc(-c2cc3c(C)cccc3[nH]2)c1,27
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3cnc4[nH]c(O)cc4c3)c2)CC1,27
CNC(=O)C1CCN(C(=O)c2ccccc2-c2ccccc2Cc2c[nH]c3ccc(NC(=O)[C@@H]4CCN(c5ccccc5)[C@H]4c4ccccc4)cc23)CC1,27
CNC(=O)CCC1CCN(C(=O)C2CN(C(=O)c3ccc4c(c3)c(C(=O)N[C@H]3COc5ccc(Cl)cc53)nn4C)CCN2c2ncccn2)CC1,26
CNC(=O)CCC1CCN(Cc2ccc(NC(=O)c3ccc4c(c3)c(C(=O)N[C@H]3COc5ccc(Cl)cc53)nn4C)cc2)CC1,26
CNC(=O)CCC1CCN(C(=O)C2(CNC(=O)c3ccc4c(c3)c(C(=O)N[C@H]3COc5ccc(Cl)cc53)nn4C)CCOCC2)CC1,26
CNC(=O)CCC1CCN(C(=O)Cc2ccccc2NC(=O)c2ccc3c(c2)c(C(=O)N[C@H]2COc4ccc(Cl)cc42)nn3C)CC1,26
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3ccc(OC)c(S(=O)(=O)F)c3)c2)CC1,26
O=C(COc1cccc(Cl)c1Cl)N[C@@H](C(=O)NCc1ccc2[nH]ncc2c1)c1ccc(F)cc1,26
CNC(=O)CCOCCOCCOCCOCCNC(=O)CN(C)c1ccc(C(F)(F)F)cc1Cc1c(CNCc2ccc(-c3cccc(C#N)c3)nc2)[nH]c2ccc(Cl)cc12,26
CNC(=O)CC1CCN(C(=O)c2ccccc2-c2ccccc2Cc2c[nH]c3ccc(NC(=O)[C@@H]4CCN(c5ccccc5)[C@H]4c4ccccc4)cc23)CC1,25
CNC(=O)CN(C)c1ccc(C(F)(F)F)cc1Cc1c[nH]c2cccc(CNCc3ccc(-c4cccc(C#N)c4)nc3)c12,25
CNC(=O)CN1[C@H](Cc2ccccc2)CN(Cc2ccc(S(=O)(=O)NCC(=O)O)cc2)C[C@@H]1CC(=O)NCc1cccc(N2CCCCC2)n1,24
Cc1cccc(OCC(=O)N[C@@H](C(=O)NCc2ccc3[nH]ncc3c2)c2ccc(F)cc2)c1C,24
CNC(=O)CN(C)c1ccc(C(F)(F)F)cc1Cc1c(CNCc2ccc(-c3cccc(C#N)c3)nc2)[nH]c2ccc(Cl)cc12,24
CNC(=O)CN1[C@@H](CCCNC(=O)OCc2ccccc2)CN(S(=O)(=O)c2cccnc2)C[C@@H]1CC(=O)NCCc1nc(-c2cccnc2)no1,23
CNC(=O)[C@H]1C[C@@H](n2c(CCc3ccncn3)nc3cccc(CNCCNC(=O)c4ccno4)c32)C1,23
CNC(=O)c1ccc(C(=O)N2CCN(C3(C)CCN(C(=O)c4ccc5c(c4)c(C(=O)N[C@H]4COc6ccc(Cl)cc64)nn5C)CC3)CC2)cc1,23
CNC(=O)c1ccc(C(=O)N(C)CC2CCN(C(=O)c3ccc4c(c3)c(C(=O)N[C@H]3COc5ccc(Cl)cc53)nn4C)CC2)cc1,23
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3cccc(N4CCOCC4)c3)c2)CC1,23
CNC(=O)C1CCN(C(=O)c2ccccc2-c2ccccc2Cc2c[nH]c3ccc(NC(=O)[C@@H]4CCN(c5ccc(F)cc5)[C@H]4c4cccs4)cc23)C1,23
CNC(=O)CC1CCN(C(=O)c2ccccc2-c2ccc(Cc3c[nH]c4cc(Cl)cc(NCc5ccc(-c6ccn[nH]6)s5)c34)o2)C1,23
CNC(=O)CC1CCN(C(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3ccc(-c4nnn[nH]4)cc3)c2)CC1,22
Cc1ccc(C)c(OCC(=O)N[C@@H](C(=O)NCc2ccc3[nH]ncc3c2)c2ccc(F)cc2)c1,22
CNC(=O)CCC1CCN(Cc2cc(NC(=O)c3ccc4c(c3)c(I)nn4C)cc(C(=O)N[C@H]3COc4ccc(Cl)cc43)c2)CC1,21
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3ccc4occc4c3)c2)CC1,21
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3ccc(CN4C(=O)CCC4=O)cc3)c2)CC1,21
CNC(=O)CC1CCN(C(=O)[C@H]2CN(C(=O)C3=NN=C(c4ccco4)C3)C[C@@H]2c2cccc(-c3cc(C)cc(O)c3)c2)CC1,21
O=C(N[C@@H](C(=O)NCc1ccc2[nH]ncc2c1)c1ccc(F)cc1)c1cnc(N2CCCCC2)nc1,21
CNC(=O)C1CCN(C(=O)c2ccc(Cc3c[nH]c4cc(Br)cc(NCc5ccc(-c6ccn[nH]6)s5)c34)o2)C1,21
CNC(=O)CCC1CCN(C(=O)CCCCNC(=O)c2ccc3c(c2)c(C(=O)N[C@H]2COc4ccc(Cl)cc42)nn3C)CC1,20
CNC(=O)CCC1CCN(C(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(C#Cc3cccc(NS(=O)(=O)c4ccc(C#N)cc4)c3)c2)CC1,20
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(C#Cc3c(C)nn(C)c3C)c2)CC1,20
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3ccc4[nH]cc(C)c4c3)c2)CC1,20
CNC(=O)C1CCN(C(=O)c2ccc(-c3ccc(Cc4c[nH]c5cc(Br)cc(NCc6ccc(-c7ccn[nH]7)s6)c45)o3)c(C)c2)C1,20
CNC(=O)CCC1CCN(Cc2ccc(C(=O)N[C@H]3COc4ccc(Cl)cc43)c(NC(=O)c3ccc4c(c3)c(I)nn4C)c2)CC1,19
CNC(=O)CCC1CCN(C(=O)c2cnn(C3CCCN(C(=O)c4ccc5c(c4)c(C(=O)N[C@H]4COc6ccc(Cl)cc64)nn5C)CC3)c2)CC1,19
CCOC(=O)c1cccc(-c2cccc([C@H]3CN(C(=O)c4cnc5[nH]cnc5c4)C[C@@H]3C(=O)NC3CCC(C(=O)NC)CC3)c2)c1,19
CNC(=O)CCNC(=O)[C@H]1CN(C(=O)c2cnc3[nH]cnc3c2)C[C@@H]1c1cccc(-c2cc3c(C)cccc3[nH]2)c1,19
O=C(COc1ccc(Cl)cc1Cl)N[C@@H](C(=O)NCc1ccc2[nH]ncc2c1)c1ccc(F)cc1,19
O=C(COc1ccc2ccccc2c1)N[C@@H](C(=O)NCc1ccc2[nH]ncc2c1)c1ccc(F)cc1,19
O=C(COc1ccccc1Cl)N[C@@H](C(=O)NCc1ccc2[nH]ncc2c1)c1ccc(F)cc1,19
Cc1ccc(OCC(=O)N[C@@H](C(=O)NCc2ccc3[nH]ncc3c2)c2ccc(F)cc2)cc1C,19
CNC(=O)C1CCC(NC(=O)CN(C)c2ccc(C(F)(F)F)cc2Cc2c(CNCc3ccc(-c4cccc(C#N)c4)nc3)[nH]c3ccc(Cl)cc23)CC1,19
CNC(=O)CCC1CCN(C(=O)c2ccccc2-c2ccccc2Cc2c[nH]c3ccc(NC(=O)[C@@H]4CCN(c5ccccc5)[C@H]4c4ccccc4)cc23)CC1,19
CNC(=O)CCC1CCN(Cc2ccc(NC(=O)c3ccc4c(c3)c(C(=O)N[C@H]3COc5ccc(Cl)cc53)nn4C)c(C)c2)CC1,18
CNC(=O)CCOCCOCCOCCOCCNC(=O)CCc1cccc(C2CCN(C(=O)c3ccc4c(c3)c(C(=O)N[C@H]3COc5ccc(Cl)cc53)nn4C)CC2)n1,18
CNC(=O)CCC1CCN(Cc2ccc(C)c(NC(=O)c3ccc4c(c3)c(C(=O)N[C@H]3COc5ccc(Cl)cc53)nn4C)c2)CC1,18
CNC(=O)CCC1CCN(Cc2ccc(NC(=O)c3ccc4c(c3)c(C(=O)N[C@H]3COc5ccc(Cl)cc53)nn4C)cc2OC)CC1,18
CNC(=O)CCC1CCN(C(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3ccc(-c4[nH]c(O)nc4O)cc3)c2)CC1,18
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3cccc4c3OCO4)c2)CC1,18
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3cc4cccc(OC)c4[nH]3)c2)CC1,18
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3ccc(NS(=O)(=O)c4ccc(C)cc4)cc3)c2)CC1,18
COc1cccc(OCC(=O)N[C@@H](C(=O)NCc2ccc3[nH]ncc3c2)c2ccc(F)cc2)c1,18
CNC(=O)CCC1CCN(C(=O)c2cccc(-c3ccccc3Cc3c(C)[nH]c4ccc(NCc5cc(C)n(-c6cccnc6)c5C)c(F)c34)c2)CC1,18
CNC(=O)CCC1CCN(Cc2cc(NC(=O)c3ccc4c(c3)c(C(=O)N[C@H]3COc5ccc(Cl)cc53)nn4C)ccc2OC)CC1,17
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3ccc(C#N)o3)c2)CC1,17
O=C(N[C@@H](C(=O)NCc1ccc2[nH]ncc2c1)c1ccc(F)cc1)c1cc(C2CC2)nn1-c1ccccc1,17
O=C(N[C@@H](C(=O)NCc1ccc2[nH]ncc2c1)c1ccc(F)cc1)c1cn2ncccc2n1,17
O=C(NCc1ccc2[nH]ncc2c1)[C@H](NC(=O)[C@H](C[C@H]1CCCO1)C(F)(F)F)c1ccc(F)cc1,17
CNC(=O)CC1CCN(C(=O)CN(C)c2ccc(C(F)(F)F)cc2Cc2c[nH]c3cccc(CNCc4ccc(-c5cccc(C#N)c5)nc4)c23)CC1,17
CNC(=O)CN1[C@H](CCCNC(=O)OCc2ccccc2)CN(C(=O)c2cnn(-c3ccccc3)n2)C[C@H]1CC(=O)N1CCC[C@@H](c2cc(C(N)=O)[nH]n2)C1,16
CNC(=O)CCC1CCN(Cc2cc(NC(=O)c3ccc4c(c3)c(C(=O)N[C@H]3COc5ccc(Cl)cc53)nn4C)ccc2C)CC1,16
CNC(=O)CCC1CCN(C(=O)c2ccnc(NC(=O)c3ccc4c(c3)c(C(=O)N[C@H]3COc5ccc(Cl)cc53)nn4C)c2)CC1,16
CNC(=O)CCOCCOCCOCCOCCNC(=O)c1cnc(C2CCN(C(=O)c3ccc4c(c3)c(C(=O)N[C@H]3COc5ccc(Cl)cc53)nn4C)CC2)o1,16
CNC(=O)CCOCCC(=O)N(C)C1CCN(C(=O)c2ccc3c(c2)c(C(=O)N[C@H]2COc4ccc(Cl)cc42)nn3C)CC1,16
CNC(=O)CCOCCC(=O)N1CCN(C2(C)CCN(C(=O)c3ccc4c(c3)c(C(=O)N[C@H]3COc5ccc(Cl)cc53)nn4C)CC2)CC1,16
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3cccc(N4CCCC4)c3)c2)CC1,16
CNC(=O)c1cccc(-c2cccc([C@H]3CN(C(=O)c4cnc5[nH]cnc5c4)C[C@@H]3C(=O)NC3CCC(C(=O)NC)CC3)c2)c1,16
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3ccc(OC)c(OC)c3)c2)CC1,16
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3cc4cc(F)ccc4n3C(=O)OC(C)(C)C)c2)CC1,16
Cc1cc(Cl)ccc1OCC(=O)N[C@@H](C(=O)NCc1ccc2[nH]ncc2c1)c1ccc(F)cc1,16
O=C(N[C@@H](C(=O)NCc1ccc2[nH]ncc2c1)c1ccc(F)cc1)c1cn(-c2ccccc2)nn1,16
CNC(=O)CC1CCN(C(=O)CN(C)c2ccc(C(F)(F)F)cc2Cc2c[nH]c3c(C)cc(CNCc4ccc(-c5cccc(C#N)c5)nc4)cc23)CC1,16
CNC(=O)CCNC(=O)C(C)Oc1c(Cl)cc(Cc2c(C(C)NC(=O)CSc3nc4cc(Cl)ccc4[nH]3)[nH]c3ccc(Br)cc23)cc1Cl,16
CNC(=O)CN(C)c1ccc(C(F)(F)F)cc1Cc1c(CNCc2ccc(-c3cccc(C#N)c3)nc2)[nH]c2ccc(C)cc12,16
CNC(=O)CC1CCN(C(=O)c2cccc(-c3ccccc3Cc3c(C)[nH]c4ccc(NCc5cc(C)n(-c6cccnc6)c5C)c(F)c34)c2)CC1,16
CNC(=O)[C@H]1CC[C@@H](n2c(CCc3ccncn3)nc3cccc(CNCCNC(=O)c4ccno4)c32)CC1,15
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3cn(C(=O)OC(C)(C)C)c4ncccc34)c2)CC1,15
CCOc1cc(-c2cccc([C@H]3CN(C(=O)c4cnc5[nH]cnc5c4)C[C@@H]3C(=O)NC3CCC(C(=O)NC)CC3)c2)ccc1F,15
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3ccn(-c4ccccc4)n3)c2)CC1,15
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3ccc4ncn(C)c4c3)c2)CC1,15
CNC(=O)CCNC(=O)[C@H]1CN(C(=O)c2cnc3[nH]cnc3c2)C[C@@H]1c1cccc(-c2ccc(-c3[nH]c(O)nc3O)cc2)c1,15
O=C(COc1ccc(Cl)c(Cl)c1)N[C@@H](C(=O)NCc1ccc2[nH]ncc2c1)c1ccc(F)cc1,15
CNC(=O)C1CCC(NC(=O)CN(C)c2ccc(C(F)(F)F)cc2Cc2c[nH]c3ccc(CNCc4ccc(-c5cccc(C#N)c5)nc4)cc23)CC1,15
CNC(=O)c1cccc(-c2ccc(Cc3c[nH]c4cc(Br)cc(NCc5cccc(O)c5)c34)o2)c1,15
CNC(=O)C1CCN(C(=O)c2ccc(-c3ccc(Cc4c(CNC(=O)c5cnc6[nH]cnc6c5)[nH]c5ccc(Cl)cc45)o3)c(C)c2)CC1,15
CCOc1cc(Cc2c[nH]c3cc(Br)cc(NCc4ccc5cn[nH]c5c4)c23)ccc1OC(C)C(=O)NCCOCCOCCOCCOCCC(=O)NC,15
CNC(=O)CCC1CCN(C(=O)c2ccc(Cc3c[nH]c4ccc(Oc5ncccc5NS(=O)(=O)c5cccc(-c6nnco6)c5)cc34)cc2)CC1,15
CNC(=O)C1CCC(NC(=O)c2cccc(-c3ccc(Cc4c[nH]c5cc(Br)cc(NCc6cccc(O)c6)c45)o3)c2)CC1,15
CNC(=O)CN1[C@H](CCCNC(=O)OCc2ccccc2)CN(C(=O)c2cnn(-c3ccccc3)n2)C[C@@H]1CC(=O)N1CCC[C@@H](c2cc(C(N)=O)[nH]n2)C1,14
CNC(=O)CN1[C@H](CCCNC(=O)OCc2ccccc2)CN(C(=O)c2cc(Cl)ccc2Cl)C[C@H]1CC(=O)N1CCC(c2cc(O)nc(C)n2)CC1,14
CNC(=O)CN1[C@H](CCCNC(=O)OCc2ccccc2)CN(C(=O)c2nc(-c3ccccc3)cs2)C[C@H]1CC(=O)N1CCC(NS(C)(=O)=O)CC1,14
CNC(=O)CN1[C@H](CCCNC(=O)OCc2ccccc2)CN(C(=O)C2CCN(Cc3ccccc3)CC2)C[C@H]1CC(=O)N1CCO[C@H](Cn2cncn2)C1,14
CNC(=O)[C@H]1CN(C(=O)c2cnc3[nH]cnc3c2)C[C@@H]1c1cccc(C#Cc2cn(C)nc2C(=O)O)c1,14
CNC(=O)C1CN(C(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(C#Cc3ccc(NS(=O)(=O)c4ccc(F)cc4)cc3)c2)C1,14
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(C#Cc3cccc(N(C)Cc4cn5ccccc5c4C#N)c3)c2)CC1,14
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3ccc(-c4nnc(NC)[s]4)cc3)c2)CC1,14
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3ccc4c(c3)OCO4)c2)CC1,14
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3cccc(OC)c3)c2)CC1,14
CNC(=O)C1CCC(NC(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3cc(N)cc(C(=O)O)c3)c2)CC1,14
CNC(=O)CC1CCN(C(=O)[C@H]2CN(C(=O)c3cnc4[nH]cnc4c3)C[C@@H]2c2cccc(-c3ccc(-c4[nH]c(O)nc4O)cc3)c2)CC1,14
Cc1ccccc1OCC(=O)N[C@@H](C(=O)NCc1ccc2[nH]ncc2c1)c1ccc(F)cc1,14
COc1ccc(OCC(=O)N[C@@H](C(=O)NCc2ccc3[nH]ncc3c2)c2ccc(F)cc2)cc1,14
Cn1nc(C(=O)N[C@@H](C(=O)NCc2ccc3[nH]ncc3c2)c2ccc(F)cc2)cc1-c1ccccc1,14
CNC(=O)CCOCCOCCOCCOCCNC(=O)c1ccccc1-c1ccc(Cc2c[nH]c3ccc(Oc4ncccc4NS(=O)(=O)c4cccc(-c5nnco5)c4)cc23)cc1,14
CNC(=O)C1CCN(C(=O)c2ccc(COc3ccc(Cc4c[nH]c5cc(C)c(NC(=O)c6cc(C)n(-c7cccs7)c6C)cc45)cc3OC)o2)C1,14
CNC(=O)C1CCN(C(=O)c2cccc(-c3ccc(Cc4c[nH]c5cc(Br)cc(NCc6ccc(-c7ccn[nH]7)s6)c45)o3)c2)C1,14
CNC(=O)CC1CCN(C(=O)CN(C)c2ccc(C(F)(F)F)cc2Cc2c[nH]c3cccc(CNCc4ccc(-c5cccc(C#N)c5)nc4)c23)C1,14
CNC(=O)CN1[C@H](CCCNC(=O)OCc2ccccc2)CN(C(=O)c2csc(-c3ccc(F)cc3)n2)C[C@H]1CC(=O)N1CCC(NS(C)(=O)=O)CC1,13
CNC(=O)[C@@H]1CC[C@H](n2c(CCc3ccncn3)nc3cccc(CN4CCN(Cc5ccccc5)C(=O)C4)c32)C1,13
CNC(=O)CCOCCC(=O)N1CCC2(CC1)CCN(C(=O)c1ccc3c(c1)c(C(=O)N[C@H]1COc4ccc(Cl)cc41)nn3C)CC2,13
